No.,"(x,y)",1,2,3
403,"9,14",-59,-61,-51
404,"9,14",-62,-55,-51
405,"9,14",-56,-59,-58
406,"9,14",-62,-54,-51
407,"9,14",-61,-62,-55
408,"9,14",-58,-57,-56
409,"9,14",-58,-56,-61
410,"9,14",-62,-57,-62
411,"9,14",-55,-57,-50
412,"9,14",-51,-57,-52
413,"9,14",-63,-55,-53
414,"9,14",-57,-55,-51
415,"8,13",-53,-59,-52
416,"8,13",-53,-57,-50
417,"8,13",-54,-57,-49
418,"8,13",-51,-58,-50
419,"8,13",-54,-58,-52
420,"8,13",-54,-58,-54
421,"8,13",-56,-63,-48
422,"8,13",-56,-58,-46
423,"8,13",-57,-64,-50
424,"8,13",-57,-60,-49
425,"8,13",-54,-58,-48
426,"8,13",-55,-58,-47
427,"8,13",-54,-58,-47
428,"8,13",-61,-59,-50
429,"7,12",-62,-60,-47
430,"7,12",-59,-58,-49
431,"7,12",-58,-59,-45
432,"7,12",-58,-62,-44
433,"7,12",-61,-61,-45
434,"7,12",-61,-60,-47
435,"7,12",-59,-68,-45
436,"7,12",-57,-68,-47
437,"7,12",-60,-58,-46
438,"7,12",-58,-58,-46
439,"7,12",-57,-59,-45
440,"7,12",-62,-59,-46
441,"7,12",-58,-62,-48
442,"8,11",-63,-60,-55
443,"8,11",-63,-62,-53
444,"8,11",-65,-65,-53
445,"8,11",-61,-65,-55
446,"8,11",-65,-65,-54
447,"8,11",-64,-66,-59
448,"8,11",-64,-63,-56
449,"8,11",-63,-66,-51
450,"8,11",-65,-62,-52
451,"8,11",-63,-63,-56
452,"8,11",-63,-62,-56
453,"8,11",-62,-62,-52
454,"8,11",-61,-62,-52
455,"5,11",-63,-58,-45
456,"5,11",-57,-55,-41
457,"5,11",-57,-55,-41
458,"5,11",-56,-52,-40
459,"5,11",-59,-52,-41
460,"5,11",-59,-55,-48
461,"5,11",-54,-58,-43
462,"5,11",-50,-56,-46
463,"5,11",-57,-56,-46
464,"5,11",-55,-52,-45
465,"5,11",-55,-52,-45
466,"5,11",-59,-53,-46
467,"5,11",-59,-51,-45
468,"2,11",-52,-59,-38
469,"2,11",-51,-57,-34
470,"2,11",-52,-57,-41
471,"2,11",-52,-57,-34
472,"2,11",-52,-56,-36
473,"2,11",-51,-56,-36
474,"2,11",-51,-52,-42
475,"2,11",-52,-54,-42
476,"2,11",-54,-56,-42
477,"2,11",-51,-56,-44
478,"2,11",-51,-55,-40
479,"2,11",-51,-57,-37
480,"2,11",-52,-54,-41
481,"3,12",-52,-62,-29
482,"3,12",-53,-65,-27
483,"3,12",-53,-76,-28
484,"3,12",-52,-60,-30
485,"3,12",-52,-65,-31
486,"3,12",-53,-61,-30
487,"3,12",-52,-61,-29
488,"3,12",-52,-62,-28
